school,company,gouv,poor,agency,individual,local,others
Mầm non ,Cty,Trạm Y Tế,Trợ cấp,Trung Tâm,HGĐ ,xã,tnsq công an
trường,DNTN ,Phòng Văn Hoá,thất nghiệp,Đại lý ,hộ gia đình,HTX ,đoàn tiếp viên
học viện,CT,Phòng Nội vụ,nghèo,TT,Cán bộ ,Phường,vùng bãi
mầm,Xí Nghiệp,Ngân hàng,,clb ,BHYT ,dtts,thị đoàn
tr.,Nhà Máy,Bệnh Viện,Dân tộc,,Bảo hiểm y tế ,uỷ ban,vpdd
tiểu học,Doanh Nghiệp,Phòng khám đa khoa,thiểu số,,,hội nông dân,đoàn nghệ thuật
nhà trẻ,XN,Đài Phát thanh,khó khăn,,Tự NGUYệN,chợ ,siêu thị 
trung cấp,CTCP,Bưu Điện,KTĐBKK ,,Nhân dân,ubnd,hotel
cao đẳng,mane indonesia pt,Sở ,đăc biệt,,Dân ,dtts,trạm
đại học,dntn ,Công Thương,KTĐBKK,,Sinh viên,nhà hát,hội
thcs,tập đoàn,Chi cục,trợ cấp,,Cư dân,vpđd,bđ
,công ty ,Ban quản lý ,KTKK ,,Hộ Kinh Doanh,,tổ chức
,chi nhánh,Sở khoa học,nghèo,,Hiệu áo Quần ,,nhà khách
,c.ty,HTX,thi hành án ,,Hiệu Vải ,,
,công  ty,Viện khoa học,ốm đau,,tự nguyện,,
,cổ phần,Uỷ ban,,,tự đóng,,
,c.t,Địa Chất Khoáng Sản,,,sinh sống,,
,tnhh,Báo Tuổi Trẻ ,,,hưu,,
,dn,Chi cục,,,đối tượng,,
,,Báo,,,bhxh ,,
,,Nhà nước ,,,sv,,
,,Văn phòng huyện ,,,hộ gđ,,
,,BQL ,,,hgđ,,
,,Sở Giao Thông,,,hgd ,,
,,Chi cục,,,người,,
,,nhà hát chèo,,,cb,,
,,Trung ương,,,cựu chiến binh,,
,,viện nghiên cứu ,,,tnnd,,
,,Phòng,,,thân nhân,,
,,viễn thông,,,hộ gd,,
,,hội liên hiệp,,,thanh niên,,
,,Ban quản lý ,,,nông nghiệp,,
,,cục,,,đại biểu,,
,,liên đoàn lao động,,,huỳnh,,
,,xđgn,,,đỗ,,
,,nhtmcp,,,bhtn,,
,,bác sỹ,,,nguyễn,,
,,ban,,,,,
,,dự án,,,,,
,,nhà khách quốc hội,,,,,
,,viện,,,,,
,,hạt kiểm lâm,,,,,
,,đài,,,,,
,,mặt trận,,,,,
,,cảng,,,,,
,,trung đoàn,,,,,
,,tạp chí,,,,,
,,quỹ,,,,,
,,huyện ủy,,,,,
,,liên đoàn,,,,,
,,thanh tra,,,,,
,,bộ,,,,,
